authorChannelId,author_name,number_of_videos,number_of_comments,category
UC86BvoLf12NzQAxJK6TaK1Q,valar,17,34,
UCBnFCnhjP5vJSnR6bbwP0Mg,gpettipas,17,40,
UCNmjWaPFPgVHD4DHliC56Iw,codyjones109,17,28,
UC6Jj_bNeDPyXW3F-Z3-jw2g,Gerry De naro,17,57,
UCkSBIG_49rCl7M78fIYa_Gw,CD Marshall,17,125,
UCjdyqTmZMJ689-gtQe7GH3w,Brian,17,64,
UCmbO-U3pRzezMOQiqSvZ4og,Scott Bros,17,24,
UCNl6Y67AiezGegoH3wfFvIA,Regan Parenton,17,25,
UCJ1kSAvYnCXaEV5wuTq8Brw,Dragonite,17,85,
UCLuBCSr1CNHr61jUJ4oGtRQ,Daniel Wright,17,67,
UC-qdANirYYnn00evmcJzhug,Him Bike,17,80,
UCGXdBc7SuW_lJK58LTzLgDg,Rad Matic,17,27,
UCD3_FruRIZNGE1lMuX0JPyA,Abe De,17,33,
UCeWcCZwsjSYs_Z6e4SMoKGg,timobrienwells,17,75,
UCZh_4CXdrfJH-jvdUQfDhhA,Peter Staples,17,49,
UCpWFxhb8t1YB-qrGziCQAaA,Greg Byrne,17,26,
UCwWD1Wa19pkqKxIE9KSE1Xw,Bo Rood,17,37,
UCiblW9WGge72Kyv-w498y3w,sanjuansteve,17,29,
UC02T8Ooh8GBC4mwZAjK1Baw,Kim Libera,16,60,
UCQIUKXKWpYbjYOtCQPLECCg,paxwallacejazz,16,26,
UCuzLSrVIM1--4Y744nE4ijg,kamran102,16,43,
UCgfPNKe7w2HPSbnHenscF2A,Johnny Jones,16,56,
UCDXU62DvNm0SS7cAhDtPaew,T3X308,16,41,
UC-j277pxs08Q-OWBxnwXVmQ,L WGG,16,43,
UCEv7Eu93MM_quAvyj5UKkGA,Lynda Schroeder,16,18,
UCiTTGnKYnt-S69eGHg38J1g,Rod Mac,16,21,
UClroWlbYYl_F-4CZAXObamA,unknown,16,36,
UCY1xToxXA0aQvJLEErOTwlQ,Jasper,16,96,
UCohwkIrAxjJA82lD3XCWCZw,Mike Harrington,16,34,
UC-BXFpw2olIupsebxKDgFzw,Bob Rolander,16,32,
UCsyr8XkjlSTpc3VH-7WEjyg,Ian Wilson,16,35,
UCY9_NwjE24VylPaoZuhCvww,kotov dot in,16,59,
UCvnxpmGdSc_Q3-kvoenwuRQ,nyood mono,16,107,
UCK-iBloS1d5p_c8OLBFwlLA,gät bik,16,17,
UC55tPfgKAk35oRWn7PqSikQ,Grégoire Hudon,16,26,
UCD3yBi784dSBdq71sNkoTcQ,dim_107,16,84,
UC8_we5pMzWyaKFvhTyP4zyA,ADerpyReality,16,34,
UCgliTi1nx-b_hAaFamX8CrQ,Frank Blangeard,15,18,
UCXrTYWUyzFhlZdCXfAXyUPQ,Brokkoli OMG,15,27,
UC6azqDSlA7fhXYXXKRKKuSQ,Boran Theki,15,62,
UCEniFq_edu-TXntQyINUXxQ,David Beaulieu,15,24,
UCC2W_w9QDgN0t5llnoWstog,Peter Name,15,18,
UCt-iKA0I1Zq62df0-GbO0Fg,Gregory Byrne,15,55,
UCWUThjAXmeq4Asavaq8l92A,amf,15,20,
UCUfPOOA8fYYXJ7lfCfRpozA,IncognitoTorpedo,15,69,
