authorChannelId,author_name,number_of_videos,number_of_comments,Category 1,Category 2, Category 3,Unnamed: 7,replies_count,comments_replies_ratio
UC2o9ELaB2S90JUf6CpKe_Rw,Eric,22,70,0.0,,,,47.0,67.14285714285714
UCjXQRYWGPu6jIIZF5p-QvKA,Zoe Phin,21,198,1.0,,,,195.0,98.48484848484848
UCT9cacMEm1FUY8AIn07RCGA,Vinny Sudheer Mako,21,21,5.0,,,,0.0,0.0
UCHcJVv-bixZHuEKh9QL0bFg,David R. Stone,21,47,1.0,2.0,,,17.0,36.170212765957444
UCy5KGaXChNfDeprhe8cimIQ,Zwiebelface,21,411,1.0,,,,409.0,99.51338199513383
UCpadRwVfACgE7PY2LLw6IVA,John Peric,21,418,1.0,,,,407.0,97.36842105263158
UCJXkt8KjcYhj2O5fchOL7Ig,AvangionQ,21,32,0.0,,,,12.0,37.5
UCui5LyyXthFgRIxm8s4gMYA,john satterlee,21,34,1.0,4.0,2.0,,8.0,23.529411764705884
UChtVoO91ZvMOgyRIvU8QQRA,KelliAnn Winkler,20,64,1.0,,,,42.0,65.625
UCwO-y6fZB0v0JGT0TU2_Wcw,Time to Believe,20,39,1.0,,,,22.0,56.410256410256416
UCD1f98flC-iGfL5b1Jy3JTQ,Warren Peece,15,16,1.0,2.0,,,1.0,6.25
UC95vjQ1yeJ4X8rWfoYTc8tg,Theeraphat Sunthornwit,15,42,1.0,,,,27.0,64.28571428571429
UCLWIa6c0krklRTq4VYQxxEQ,Christopher allen sutton,15,49,0.0,2.0,,,32.0,65.3061224489796
UCfgnvY8bNlFUN2sXvhNehyg,Les Schorlemer,15,78,0.0,,,,76.0,97.43589743589745
UCAEKdMHOWz0i5-rEa_fF8Aw,Drew Drewman,15,40,1.0,,,,25.0,62.5
UCiYlEf7SC0Mqq5yBZEa217g,Mike N,15,17,0.0,6.0,,6 → advocating faster change to combat population growth,2.0,11.764705882352942
UC-ylP_ppC9Znx5O3xJ4LodQ,Tina Clark aka Aunt Tina,15,39,6.0,,,,26.0,66.66666666666667
UCK7GySMThI6Hohtx__UYl5g,Francis Mausley,15,20,6.0,,,6 → zitations and religious remarks,2.0,10.0
UC2uWMuKyyNQ7PI615brcMDw,ExerciseMachina,15,21,1.0,,,,6.0,28.57142857142857
UCo7AJs3bzP4rapONqTDYzbg,shiva koliar,15,80,0.0,5.0,,5→ repetition of manifesto,59.0,73.75
UCFigH8Nyi-QLJksIo2tLjuQ,spex357,15,46,1.0,,,,29.0,63.04347826086956
UCQz_UQjQIhWlP-usnvuQRnA,Ken Van de Burgt,15,45,1.0,5.0,,5 → repetition of comments,25.0,55.55555555555556
UCzh2UsBAdG27V13OYZ4xLeA,Byron Allen,15,32,1.0,,,1 → more denying that it is a problem,5.0,15.625
UCfwjd5aIKlgyw1CrS26geSA,Mickeyislowd,15,24,0.0,,,,15.0,62.50000000000001
UCW9WD2bJmAvf5Eyly_CqVVw,The Falconry Brother,14,15,5.0,,,5 → spam,0.0,0.0
UCRg-VhuaYVCpoe7nrB-xrGw,Brooks Anderson,14,47,0.0,,,,39.0,82.97872340425532
UCpgJ2pPUrxklN3-TvAXZjaA,Max Tabmann,14,37,1.0,,,,18.0,48.648648648648646
UCOwH74qcARVFv1YnNykPeWQ,Simon Ruszczak,14,36,1.0,5.0,6.0,,28.0,77.77777777777777
UC3Zy57El6_5ISgf68m8whAg,waynebow 2018,14,50,1.0,,,,34.0,68.0
UCH8wfx6W4ctGVRsC1AHU6Tg,MrRobtwothirds,14,22,1.0,,,,5.0,22.72727272727273
UCmhbJ8eVQAjOotX3QoQQ5Kw,John Smith,14,52,1.0,6.0,,,39.0,75.0
UCNFM6Qdz6h5gM76MpdR5a9Q,Ronald Garrison,14,30,0.0,,,,17.0,56.66666666666667
UCfZxaiURlU2BzZ8sDrpDQHw,EdP IV,14,25,1.0,,,,7.0,28.0
UCYXPJscuMCfyysXvbOkck5Q,Fireball Xl5,14,15,0.0,,,,0.0,0.0
UCbPjUfYtRMp2zceekFumqdw,Alva Goldbook,14,25,1.0,,,,11.0,44.0
UCYUQBu3Ef5qgWksKOA0iPjg,Tom Kelly,14,26,0.0,,,-> pro climate change,3.0,11.538461538461538
UChWj38b1fdC4O51gKzsOgqg,Martin Hearn,14,75,0.0,,,,72.0,96.0
UCLOm0rnORvOUYMMZbsVizjA,David Foster,14,107,0.0,,,,96.0,89.7196261682243
UCNhaiLE0lecWUSgqpvSqAPQ,Edmonton Rails,14,94,1.0,,,,94.0,100.0
UC2w7MEK0MPtKNpxYHrW9W4A,Niko Laus,14,33,1.0,,,,18.0,54.54545454545455
UCLJ448Ea-Z9Q2X5mtQPI54Q,konroth rec.,14,16,1.0,,,,2.0,12.5
UCbuWldlPVfZnif_gv3kNu7g,ufewl,14,51,1.0,,,,27.0,52.94117647058823
UCPZg5rOiD0ojbgf-FwmTKXg,simon6071,14,225,1.0,,,,223.0,99.1111111111111
UCF6yTL7Q32JD9XY6t0RPlFQ,Tom Mallard,14,20,0.0,,,,4.0,20.0
UCmJ7BMNfNFH6QV7yHUVynDA,gerald frost,14,104,1.0,,,,102.0,98.07692307692308
UC40hKDUsjLiy_L3RxnvZEIQ,Decimus Rex,14,50,0.0,,,,49.0,98.0
UCjW4EAmDcoPrHBuo0E6dl5w,Richard Pauli,14,14,0.0,,,,1.0,7.142857142857143
UCK1KSZIkIv0MdaHTUxMry0w,no taboos,14,20,1.0,,,,6.0,30.0
UCh-q4vuBUZuNFar-fxfuQcA,Pip Santos,14,33,1.0,,,,21.0,63.63636363636363
UCtDtdGF7vRh355GvECwFIIg,Dave -in-NJ,14,46,1.0,,,,21.0,45.65217391304348
UCsHu4VALUmKB3c2XsgdFKxA,Don Elliott,14,17,1.0,,,,1.0,5.882352941176471
UCIHQQ1mJkGjPNxCzuz_lfaw,Lightning Rod,14,25,5.0,6.0,,,11.0,44.0
UCTnfPHhtK2qTp0OjDl0wNtg,Cheburushka,14,15,0.0,,,,2.0,13.333333333333334
UC0jDJqdKsB-slq_NVEDRSbA,Bruce Frykman,14,876,1.0,,,,855.0,97.6027397260274
UCpzMTCYoh5MTC5YbaddH24w,Islamisthecultofsin,14,55,1.0,,,,43.0,78.18181818181817
UCcY6GczEv8jUOrDZVVtrkwA,Jh5578,13,27,0.0,,,,16.0,59.25925925925926
UC5HgwznWq0DguPYeH6cR2Kw,James Pyke,13,184,0.0,4.0,5.0,,183.0,99.45652173913042
UCJRirO-r6s4oz4YsdSQk6cA,Steve Koschella,13,13,1.0,,,,1.0,7.6923076923076925
UCsgSvuMUNtbpXbU2mN-ChRA,Sucker Free,13,30,6.0,,,,27.0,90.0
UCfZvLlpHqkWUyfnWaf77Y1A,tod jones,13,27,1.0,,,,10.0,37.03703703703704
UCozgyipfue_cPlOicBixKYw,Dutch Flats,13,44,1.0,,,,30.0,68.18181818181819
UCcrROA3wjSQIyk1oLZC1FRQ,Bill Andrews,13,29,1.0,,,,9.0,31.034482758620687
UCKy_12eLV7n7Flg6ZqIZh6g,John King,13,23,1.0,,,,8.0,34.78260869565217
UCJSOFys-r8cYWE_b_FJwTFw,Rich Diana,13,17,0.0,,,,3.0,17.647058823529413
UCxAqn57F8851p8vQxmE0waw,Kash,13,46,1.0,4.0,,,34.0,73.91304347826086
UCqG5DHLZcg-s-KvRZyXk8uA,Burgess Park,13,192,1.0,,,,179.0,92.7461139896373
UCMICD7vL2dXCNc_BUiES5AA,Estoy Hasta LaMadre,13,22,5.0,,,,5.0,22.72727272727273
UCqB5nhLL31lVG3JeGbKxQDA,Magnús Örn,13,207,0.0,4.0,,,203.0,98.06763285024154
UCcf982p4ZDQIfcvOzQRe_yQ,bruce baker,13,21,1.0,,,,8.0,38.095238095238095
UC9nPUN2iDgi58BiwFO8gMVA,rugbyguy59,13,141,0.0,,,,79.0,56.02836879432624
UC5GakB9f_cGtQ0pYtGF77AQ,Z O,13,24,0.0,,,,11.0,45.833333333333336
UCnpBxQ2lBArsw_6PyJUa9dg,James West,13,23,1.0,,,,4.0,17.391304347826086
UCYnwmslj2knI9iAiXM4UOgg,Desertphile,13,25,0.0,,,,12.0,48.0
UCJTc2bg1N2M5kVBmhXYOfZg,The Generalist,13,58,1.0,4.0,,,48.0,82.75862068965517
UCbEDNqVzwrvhSogMHiH7eDQ,Otopon,13,45,0.0,,,,45.0,100.0
UCzjmmNyVJUy2kVvXGoy1EjQ,Tod Jones,13,28,1.0,,,,7.0,25.0
UC6UHrjMzcplMFsl0PsAwWhw,-4*,13,69,1.0,,,,58.0,84.05797101449275
