,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at,search_term
393,UgycJUMkE33hgplWbNV4AaABAg,0.0,0.0,2020-09-13T21:35:26Z,Laurie,Nobody is sicker than Trump! The biggest poisoned apple we have ever been forced to take a bite of.,UCagFqgZhO1tAad1xNKZQ-kg,1.0,UgycJUMkE33hgplWbNV4AaABAg,lr-tBaFGRyg,2020-09-11T23:56:52Z,climate crisis
394,UgyRbC6LloqD55wBUJp4AaABAg,0.0,0.0,2020-09-12T04:04:51Z,Kitty Beck,"It is not climate change - it is the climate changers, i.e., WEATHER GEOENGINEERING.  The aerosol-spraying planes contain incendiaries such as aluminum, very flammable.  STOP WEATHER GEOENGINEERING.  Weather geoengineering also causes too much rainfall in one area (flooding), then drought in another where it stole the water from.",UCbmoLUTkR4EOOsXq69cklvQ,0.0,UgyRbC6LloqD55wBUJp4AaABAg,lr-tBaFGRyg,2020-09-11T23:56:52Z,climate crisis
395,Ugze7dhvm4E8RwwNdnN4AaABAg,0.0,0.0,2020-09-12T04:03:40Z,Scott Bros,"Newsom saw the writing on the wall last year but did nothing to improve Forrest management and now wants to blame CO2 instead of himself and his cronies in the state assembly...
If Newsom thought CO2 was to blame then he and his cronies would have used all the CO2 tax money collected in California to manage the forests instead of handing it out to his cronies.
The fires have put more CO2 in the atmosphere than Californians can imagine. So stop the CO2 tax or whatever you like to call it as it has only promoted corruption in California. 
So I have to ask Newsom for his RESIGNATION..",UCmbO-U3pRzezMOQiqSvZ4og,0.0,Ugze7dhvm4E8RwwNdnN4AaABAg,lr-tBaFGRyg,2020-09-11T23:56:52Z,climate crisis
396,UgwpHPtsYfHD6j09RZt4AaABAg,0.0,0.0,2020-09-12T04:00:13Z,BryantArt,Say hello to state tax increase next year 💰,UCnRgMkeMrXdVaOon2MQc3ow,0.0,UgwpHPtsYfHD6j09RZt4AaABAg,lr-tBaFGRyg,2020-09-11T23:56:52Z,climate crisis
397,Ugz9CaoXHq4s2sWaVLV4AaABAg,0.0,0.0,2020-09-12T03:56:40Z,IBRAHIM BIN NGAH Fab,Its punishment from our Lord for our   non believing and ungrateful to Him.,UCrow3V1jIOKiO3dfGRIPliA,0.0,Ugz9CaoXHq4s2sWaVLV4AaABAg,lr-tBaFGRyg,2020-09-11T23:56:52Z,climate crisis
398,Ugy2HZiWW7HhsqR1RNl4AaABAg,0.0,0.0,2020-09-12T03:55:00Z,s3nz3i millyun,Funny to see all of the simps blaming forest management while ignoring all of the other extreme weather events that have happened this year across the planet.,UCIkP8hs0VIvBFPxqVs-TO6A,0.0,Ugy2HZiWW7HhsqR1RNl4AaABAg,lr-tBaFGRyg,2020-09-11T23:56:52Z,climate crisis
399,Ugz5tUOcZUy7YgkrCS94AaABAg,0.0,0.0,2020-09-12T03:51:59Z,kendo4242,"Gavin Newsom is a humanoid entity sent to instigate a terraforming operation on planet Earth to make this world more amenable to occupation for  his master race from the Andromeda galaxy. Hey just kidding! He's not from Andromeda, he was hatched here on Earth!",UCzcZMzUICnYrzJShCln5NsQ,0.0,Ugz5tUOcZUy7YgkrCS94AaABAg,lr-tBaFGRyg,2020-09-11T23:56:52Z,climate crisis
400,UgzIjQuHB99mCmE1dS94AaABAg,0.0,0.0,2020-09-12T03:51:44Z,Don Gato,"Worst governor in California's great history! HIS INSANE FOREST MANAGEMENT POLICIES TO BLAME 100%
These fires have NOTHING to do with climate change. A 60 mile fire could be started by a flick of a cigarette. Vote Nancy Pelosi's relative OUT!",UCHBRRoISInDeB9E29HsUs7g,0.0,UgzIjQuHB99mCmE1dS94AaABAg,lr-tBaFGRyg,2020-09-11T23:56:52Z,climate crisis
401,UgyjQflrWExlFHhT_L54AaABAg,0.0,0.0,2020-09-12T03:50:15Z,Mark Trammell,It’s all because Trump pulled out of the Paris climate agreement the agreement that we tank our economy and Chi na and that Trump Ali Russia and India can still spew out carbon emissions and grow their economies.The Democrats want total control of our lives look how the green new deal is working out in California with rolling black outs and LA’s mayor telling people to turn off all appliances and use a fan right when it’s 108 degrees. Do you really think that the elites are doing that if you do then I have a solar panel that works at night to sell you.,UCj5KeuYN1E-xesia4B4NweA,0.0,UgyjQflrWExlFHhT_L54AaABAg,lr-tBaFGRyg,2020-09-11T23:56:52Z,climate crisis
402,Ugwely-_0saJqDainUJ4AaABAg,0.0,0.0,2020-09-12T03:49:19Z,N.A. Larson,"NBC, a lot of your simple (or bot) YouTube viewers/commenters espouse Climate Change Denier views, which are of course uninformed and tragically wrong. That said, I would be interested to see more about other - non-Trumpian/""Dems should've swept the ground better with sick prison slave labor"" - factors, and what can and will be done to manage all of this.",UC4cbeLJZzC2P70TkgatWIhw,0.0,Ugwely-_0saJqDainUJ4AaABAg,lr-tBaFGRyg,2020-09-11T23:56:52Z,climate crisis
