,id,threadId,published_at,author_name,text,likeCount,is_reply,cleaned,video_id,video_published_at
1456,UgxoQ2lC7ncqhAqUCcl4AaABAg,UgxoQ2lC7ncqhAqUCcl4AaABAg,2019-09-10T22:42:35Z,Sylvia King,OBAMA = FARCE.,0.0,0.0,,cVkAsPizAbU,
1457,UgwStAZOuigR47BVceV4AaABAg,UgwStAZOuigR47BVceV4AaABAg,2019-09-10T22:18:38Z,Lucky Davis,What we should be stopping is geoengineering 64000 experiments a year in the atmosphere just in the United States,0.0,0.0,,cVkAsPizAbU,
1458,UgwvOJPyTXFdJPIusW94AaABAg,UgwvOJPyTXFdJPIusW94AaABAg,2019-09-10T19:59:06Z,Jim Cumback,"The earth's cooling we're in for an ice age, the earth's heating. We're going to burn up. Meantime the pseudoscientists yell and scream that America has to do something, while other countries do nothing.  And the traitor Obama,  as per usual, screws America.  While the left/socialist lie, which is all they do. Let's be real. 
   CLIMATE CHANGE IS A CROCK OF SHIT.",78.0,0.0,,cVkAsPizAbU,
1459,UgwvOJPyTXFdJPIusW94AaABAg,UgwvOJPyTXFdJPIusW94AaABAg,2020-03-29T02:04:42Z,Eric Styles,"@Patriot truth 
Trumpkin loser bait.",0.0,1.0,,cVkAsPizAbU,
1460,UgwvOJPyTXFdJPIusW94AaABAg,UgwvOJPyTXFdJPIusW94AaABAg,2020-03-29T02:04:11Z,Eric Styles,"@BagdadBill 
I saw enough in 1 minute, it made me temporarily blind for 5 min. afterwards.
Sum bad shit.",0.0,1.0,,cVkAsPizAbU,
1461,UgwvOJPyTXFdJPIusW94AaABAg,UgwvOJPyTXFdJPIusW94AaABAg,2020-03-29T02:02:21Z,Eric Styles,"Your VERBAL VOMIT,
 who cares what's on it..",0.0,1.0,,cVkAsPizAbU,
1462,UgwvOJPyTXFdJPIusW94AaABAg,UgwvOJPyTXFdJPIusW94AaABAg,2020-03-23T05:19:03Z,Anonymous Libertarian,AGREED!!!!!,1.0,1.0,,cVkAsPizAbU,
1463,UgwvOJPyTXFdJPIusW94AaABAg,UgwvOJPyTXFdJPIusW94AaABAg,2020-03-09T22:50:32Z,BagdadBill,@Nissim Levy and you didn't pay attention to the video.,2.0,1.0,,cVkAsPizAbU,
1464,UgwvOJPyTXFdJPIusW94AaABAg,UgwvOJPyTXFdJPIusW94AaABAg,2020-02-19T03:52:06Z,A W,@ferkemall Yeah western governments will collapse trying to save the planet while their countries become third world islamic shit holes.,2.0,1.0,,cVkAsPizAbU,
1465,UgzXNRxPoTJK0F9T5D54AaABAg,UgzXNRxPoTJK0F9T5D54AaABAg,2019-09-10T19:51:51Z,Rodney Spitler,"Do the math people.  They are trying to convince people that 400 to 450 ppm of CO2 is horrible. That works out to be right around 0.04% of our atmosphere. If they try to push it lower than that things will stop being green and our planet will die. The propagandists are so uninformed with the facts or they are trying to purposely mislead you to gain control over your money and your soul. We could double and even triple the current carbon dioxide levels and it would be perfectly OK. Plants need carbon dioxide to live. If anybody paid attention in science class they would know that. The more carbon dioxide they get the more they grow and get greener. We do have to keep our atmosphere clean from harmful pollutants. However, carbon dioxide at the current level there’s not a problem at all. They are getting away with their lies because of the level of ignorance there is in this country and the way the left constantly pushes the emotion button with far to many ignorant humans.",0.0,0.0,,cVkAsPizAbU,
1466,UgyjnTePfY1Zs4Yv2e54AaABAg,UgyjnTePfY1Zs4Yv2e54AaABAg,2019-09-10T17:44:40Z,Super Bird,Real journalists have become an endangered species. Thank you for reporting the truth.,1.0,0.0,,cVkAsPizAbU,
1467,UgyjnTePfY1Zs4Yv2e54AaABAg,UgyjnTePfY1Zs4Yv2e54AaABAg,2019-10-18T08:27:49Z,Super Bird,The line between journalist and reporter is blurred lately. The former may work for a newspaper while the latter is on television. John Stossel happens to be a reporter on TV.,0.0,1.0,,cVkAsPizAbU,
1468,UgyjnTePfY1Zs4Yv2e54AaABAg,UgyjnTePfY1Zs4Yv2e54AaABAg,2019-10-18T07:06:18Z,Clockwork,@Super Bird Literally the same thing,0.0,1.0,,cVkAsPizAbU,
1469,UgyjnTePfY1Zs4Yv2e54AaABAg,UgyjnTePfY1Zs4Yv2e54AaABAg,2019-10-18T06:53:34Z,Super Bird,He's a reporter.,0.0,1.0,,cVkAsPizAbU,
1470,UgyjnTePfY1Zs4Yv2e54AaABAg,UgyjnTePfY1Zs4Yv2e54AaABAg,2019-10-18T06:47:48Z,Clockwork,"He is a commentator, not a journalist",0.0,1.0,,cVkAsPizAbU,
1471,UgzoZB8GJFX4XGwtfJF4AaABAg,UgzoZB8GJFX4XGwtfJF4AaABAg,2019-09-10T17:14:44Z,stephane paulin,Compulsory bullshit .,0.0,0.0,,cVkAsPizAbU,
1472,UgzJgDKChjX8WpQxmeJ4AaABAg,UgzJgDKChjX8WpQxmeJ4AaABAg,2019-09-10T16:26:47Z,Michael Higgins,"The Paris agreement was nonsense. Each country wrote whatever they wanted and it was appended to the introduction without question. India and China weasel-worded their write-up and they made no commitment to ""try"" anything until ""after"" 2030.",0.0,0.0,,cVkAsPizAbU,
