position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	tags	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
33	UCgRvm1yLFoaQKhmaTqXk9SA	NowThis World	1yxeRrOtT7g	2016-04-22T12:00:00Z	2016-04-22 12:00:00	Can The Paris Agreement Actually Stop Global Warming?	» Subscribe to NowThis World: http://go.nowth.is/World_Subscribe Argentine prosecutor Alberto Nisman was found dead a day before he was due to give his testimony about an alleged government cover-up of a terrorist attack. Suspicion grew as to what was the cause of death. Did he kill himself, or was his death part of a cover-up as well? Learn More: What Happened to Alberto Nisman? http://www.newyorker.com/news/news-desk/happened-alberto-nisman "On January 18th, just before midnight, an Argentine state prosecutor named Alberto Nisman turned up dead in his apartment." Argentine Phone Calls Detail Efforts to Shield Iran http://www.nytimes.com/2015/01/22/world/americas/argentine-calls-detail-efforts-to-shield-iran.html "Intercepted conversations between representatives of the Iranian and Argentine governments point to a long pattern of secret negotiations to reach a deal in which Argentina would receive oil in exchange for shielding Iranian officials from charges that they orchestrated the bombing of a Jewish community center in 1994." The shady history of Argentina's Intelligence Secretariat http://www.theguardian.com/world/2015/jan/27/argentina-intelligence-secretariat-shady-history "On Monday night, Argentina's president, Cristina Fernández de Kirchner, took the bold step of announcing a plan to dissolve the country's Intelligence Secretariat and send to congress a draft bill for the "reform of Argentina's intelligence service" in the wake of the death of prosecutor Alberto Nisman nine days ago." Latin Americans Increasingly Distrust Their Government, and It's Leading to More and More Violence http://www.huffingtonpost.com/sergio-munoz-bata/latin-americans-increasin_b_6614884.html "From Buenos Aires to Mexico City to Rio de Janeiro, distrust in the institutions of governance is the predominant feeling." Watch More: How Powerful Iran is? https://www.youtube.com/watch?v=U8mywU-_jlc _________________________ NowThis World is dedicated to bringing you topical explainers about the world around you. Each week we’ll be exploring current stories in international news, by examining the facts, providing historical context, and outlining the key players involved. We’ll also highlight powerful countries, ideologies, influential leaders, and ongoing global conflicts that are shaping the current landscape of the international community across the globe today. More from NowThis: » Subscribe to NowThis News: http://go.nowth.is/News_Subscribe » Like NowThis World on Facebook: https://go.nowth.is/World_Facebook » Connect with Judah: Follow @judah_robinson on Twitter – Facebook: http://go.nowth.is/LikeJudah » Connect with Versha: Follow @versharma on Twitter – Facebook: http://go.nowth.is/LikeVersha http://www.youtube.com/nowthisworld Special thanks to Evan Puschak for hosting TestTube! Check Evan out on Twitter: https://twitter.com/TheeNerdwriter/media	paris,the paris agreement,paris agreement,climate change agreement,COP21,cop21 paris,cop21 agreement,climate change,environment,global warming,united nations,un,un climate change,Pollution,US,china,global emission,biggest polluters,cutting emission,us pollution,climate change conference,what is the paris agreement,seeker,seeker daily,testtube,test tube,Jules Suzdaltsev,News,current events,global climate change,china pollution	25	News & Politics	PT3M44S	224	2d	hd	true	https://i.ytimg.com/vi/1yxeRrOtT7g/maxresdefault.jpg	1	114978	2754	204	0	720
34	UCuFFtHWoLl5fauMMD5Ww2jA	CBC News	UhGFacifP6k	2015-12-13T00:37:28Z	2015-12-13 00:37:28	'Historic' Paris climate deal adopted	Nearly 200 nations said yes to a deal to reduce and slow carbon emissions and slowing global warming For more: http://www.cbc.ca/1.3362354 »»» Subscribe to CBC News to watch more videos: https://www.youtube.com/user/cbcnews?sub_confirmation=1 Connect with CBC News Online: For breaking news, video, audio and in-depth coverage: http://www.cbcnews.ca Find CBC News on Facebook: https://www.facebook.com/cbcnews Follow CBC News on Twitter: https://twitter.com/cbcnews For breaking news on Twitter: https://twitter.com/CBCAlerts Follow CBC News on Google+: https://plus.google.com/+CBCNews/posts Follow CBC News on Instagram: http://instagram.com/cbcnews Follow CBC News on Pinterest: https://www.pinterest.com/cbcnews// Follow CBC News on Tumblr: http://cbcnews.tumblr.com »»»»»»»»»»»»»»»»»» For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.	CBC News,CBCNews,CBC broadcasting media,public broadcasting news,Canadian News,Canadian Broadcasting Corportation (TV network),CBC News Network,Paris,COP21,climate change,global warming,climate deal,carbon emissions	25	News & Politics	PT3M19S	199	2d	hd	true		1	4234	36	31	0	12
35	UCFH5dQAkGIqzcFYmM4tNtXw	NowThis Earth	XWP1qTeWIgM	2020-12-12T18:00:25Z	2020-12-12 18:00:25	How Far We've Come Since The Paris Agreement | NowThis Earth	Here's how far we've come since the Paris Agreement was signed 5 years ago. » Subscribe to NowThis Earth: https://go.nowth.is/Earth_Subscribe » Sign up for our newsletter KnowThis to get the biggest stories of the day delivered straight to your inbox: https://go.nowth.is/KnowThis The Paris Agreement is now 5 years old, and a lot has happened in that time. The agreement was initially signed by 194 countries, and it's been ratified by 188. The core of the agreement is to limit the amount of greenhouse gas emissions that lead to global warming and to prevent the global average temperature from rising 2°C above preindustrial levels — all before 2100. This could be the difference between life and death for people across the globe. So are we on track? We explain. #ParisAgreement #ClimateChange #GlobalWarming #Earth #Environment #Science #NowThis Connect with NowThis » Subscribe to NowThis News: http://go.nowth.is/News_Subscribe » Like us on Facebook: http://go.nowth.is/News_Facebook » Tweet us on Twitter: http://go.nowth.is/News_Twitter » Follow us on Instagram: http://go.nowth.is/News_Instagram » Find us on Snapchat Discover: http://go.nowth.is/News_Snapchat NowThis Earth is daily news coverage of climate, sustainability, biodiversity, species extinction, environmental justice, and other planetary concerns. NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live. http://www.youtube.com/nowthisearth @NowThisEarth	nowthis,future,science news,nowthis earth,now this earth,environment,earth,climate change,global warming,paris agreement,carbon emissions,climate crisis,paris climate agreement,carbon emissions explained,global climate change,paris accord,climate change 2020,carbon emissions and climate change,climate change crash course,climate crisis explained,global warming and greenhouse effect,environmental issues,environmental justice,science news this week,cop21	28	Science & Technology	PT4M29S	269	2d	hd	false	https://i.ytimg.com/vi/XWP1qTeWIgM/maxresdefault.jpg	1	7361	361	19	0	65
36	UC5O114-PQNYkurlTg6hekZw	United Nations	SepJaB-Ynes	2018-10-30T14:02:36Z	2018-10-30 14:02:36	Propelling the Paris Agreement - progress in 2018	UN is building coalitions with leaders from government, business, and communities to accelerate progress on climate action to meet the goals of the Paris Agreement and keep global temperature rise to well below 2 degrees. Progress is being made but much more is needed. It’s a race against time, but we can succeed.	UN,United Nations,Climate change,Paris Agreement	25	News & Politics	PT2M7S	127	2d	sd	false			2982	76	11	0	3
37	UC16niRr50-MSBwiO3YDb3RA	BBC News	XyToXrWfqh4	2020-11-09T22:50:22Z	2020-11-09 22:50:22	Joe Biden: fighting climate change "a top priority" - BBC News	President-elect Biden has made the fight against climate change one of his top priorities. He’s called for net zero carbon emissions by 2050 and will seek to return the United States to the Paris climate agreement which was abandoned by Donald Trump. Huw Edwards presents BBC News at Ten reporting by science editor David Shukman. Please subscribe HERE http://bit.ly/1rbfUog	bbc,bbc news,news,Biden,President,election,policy,climate,change,global,warming,emissions,Paris,agreement,Trump,curbing,net,zero,2050,melting,glaciers,temperatures,danger,risk,threat,Huw Edwards,David Shukman,science,editor,arctic,US,United States,White House	25	News & Politics	PT2M41S	161	2d	hd	false		1	37691	837	203	0	590
38	UCE9mrcoX-oE-2f1BL-iPPoQ	World Bank	aBUE3UxKRiU	2016-04-12T21:25:58Z	2016-04-12 21:25:58	No Time to Lose: Turning the Paris Climate Agreement into Action	Last December, 195 countries met in Paris and reached an unprecedented agreement to limit global warming. The World Bank Group is working now to help developing countries deliver on their climate commitments and deal with the impact of a changing climate.	Climate Change,COP21,Poverty reduction,Green Energy,Sustainable development,Mass Transit,Carbon reduction,Sustainable farming,Disaster preparedness,Paris Agreement,Climate Action,Global Warming,World Bank,United Nations,UNFCCC,Climate,Environment,Pollution,Greenhouse emissions,Youth,Jim Yong Kim,Poverty,Development,Sustainable Development,Climate Finance,Climate Business.	29	Nonprofits & Activism	PT1M53S	113	2d	hd	true			45068	21	2	0	0
39	UCK8f1CUe8y403u3b0gCINww	University of Oxford	1vAl5-850to	2020-01-18T17:00:00Z	2020-01-18 17:00:00	Futuremakers Podcast: What did the Paris Climate Agreement change? (Season 2: Episode 5)	On the 12th December 2015, at the 21st COP in Paris, representatives of 196 states reached an agreement to combat climate change that was celebrated around the world. With the long-term goal of keeping global temperature to below two degrees centigrade above pre-industrial levels, and covering areas such as nationally determined contributions and global stocktakes, Paris was heralded as a huge break-through. But four years on, and against the backdrop of the United States announcing its intention to withdraw from the agreement, what did the politicians at Paris actually achieve? Join our host, philosopher Peter Millican, as he explores this topic with Fredi Otto, Acting Director of Oxford’s Environmental Change Institute and a lead scientist on the World Weather Attribution project; Richard Millar, a Senior Analyst for the Committee on Climate Change, whose research spans the physical and economic consequences of climate policy; and Sugandha Srivastav, a researcher on the post carbon transition, who’s previously worked at the Indian Council for Research on International Economic Relations. Find out more out Oxford’s climate research at bit.ly/trueplanet	University of Oxford,Oxford University,Futuremakers,Science,Podcast,Climate change,Climate science,Paris Agreement,IPCC,research,COP 25,global warming,policy,UK policy,Global policy,World policy,climate goals,climate attribution,Paris 2015	27	Education	PT1H4M29S	269	2d	hd	false	https://i.ytimg.com/vi/1vAl5-850to/maxresdefault.jpg		1219	38	1	0	0
40	UCQfwfsi5VrQ8yKZ-UWmAEFg	FRANCE 24 English	A4UhbUNMQgc	2018-10-31T12:03:19Z	2018-10-31 12:03:19	Global warming: 'Paris agreement will leave 99% of the problem unsolved'	Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN The 2015 Paris climate agreement is a highly costly treaty that will change little. That's the view of Bjorn Lomborg, who's been named one of the most influential people of the 21st century. Lomborg, who has his own think tank and has written several books on the issue, admits that climate change is real, but says the Paris accord is a tiny way of doing something about global warming. He argues that it will solve just one percent of the problem at a very high cost. Lomborg argues that what we should be doing instead is investing the money into research and development of green energy, which needs to be made cheaper than fossil fuels. He joined us for Perspective. http://www.france24.com/en/taxonomy/emission/22082 Visit our website: http://www.france24.com Subscribe to our YouTube channel: http://f24.my/youtubeEN Like us on Facebook: https://www.facebook.com/FRANCE24.English Follow us on Twitter: https://twitter.com/France24_en	environment,climate change,Renewable energy,PERSPECTIVE,france24,news	25	News & Politics	PT7M59S	479	2d	hd	false		1	19151	289	30	0	143
41	UC5O114-PQNYkurlTg6hekZw	United Nations	I0ajWW1NcLg	2018-09-26T20:20:49Z	2018-09-26 20:20:49	UN Chief on the Implementation of the Paris Agreement on Climate Change	Remarks delivered by António Guterres (UN Secretary-General) at the High-Level Leaders Dialogue on Climate Change: Implementation of the Paris Agreement on Climate Change: Towards COP24 and Beyond. Remarks: https://www.un.org/sg/en/content/sg/speeches/2018-09-26/remarks-high-level-event-climate-change	climate change,global issues,UN,United Nations	25	News & Politics	PT7M31S	451	2d	sd	false			1365	20	2	0	3
42	UC5O114-PQNYkurlTg6hekZw	United Nations	S7yMemx5zjY	2017-09-19T21:30:00Z	2017-09-19 21:30:00	Propelling Progress on Paris Agreement	United Nations - UN is building coalitions with leaders from government, business, and communities to accelerate progress on climate action to meet the goals of the Paris Agreement and keep global temperature rise to well below 2 degrees. Progress is being made but much more is needed. It’s a race against time, but we can succeed.	UN,United Nations	25	News & Politics	PT2M8S	128	2d	hd	false	https://i.ytimg.com/vi/S7yMemx5zjY/maxresdefault.jpg	1	2564	31	4	0	0
